year,feature,training_median_scaled,year_median_scaled,outside_training_1_99_fraction
2006,channel_46_difference,0.0,0.0,0.01835
2007,channel_41_last,0.0,-0.12259621918201447,0.0238
2007,channel_41_min,0.0,-0.12308067828416824,0.01915
2007,channel_41_max,0.0614745132625103,-0.061469849199056625,0.04475
2007,channel_41_std,0.0,0.0,0.0108
2007,channel_42_last,-0.0580093152821064,-0.0580093152821064,0.0166
2007,channel_42_min,-0.058607231825590134,-0.11721446365118027,0.0144
2007,channel_42_max,-0.05846540257334709,-0.05846540257334709,0.01335
2007,channel_42_std,0.0,0.23001344501972198,0.01175
2007,channel_43_last,0.0,-0.05977090820670128,0.06855
2007,channel_43_min,-0.019979046657681465,-0.05990255996584892,0.06205
2007,channel_43_max,0.0,-0.05971214547753334,0.0658
2007,channel_43_std,0.0,0.0,0.0128
2007,channel_44_last,0.0,-0.03839937597513199,0.0256
2007,channel_44_min,0.0,-0.0385054275393486,0.0257
2007,channel_44_max,0.0,-0.03843031823635101,0.01895
2007,channel_44_std,0.0,0.0,0.0132
2007,channel_45_last,-0.06127030402421951,-0.12244163453578949,0.0143
2007,channel_45_min,0.0,-0.12287519872188568,0.0061
2007,channel_45_max,0.0,-0.061271194368600845,0.0224
2007,channel_45_std,0.0,-0.000504475028719753,0.0107
2007,channel_46_last,0.0,-0.05804774910211563,0.0164
2007,channel_46_min,-0.058594442903995514,-0.11718888580799103,0.0104
2007,channel_46_max,0.0,-0.058654867112636566,0.01925
2007,channel_46_std,0.0,0.0,0.01215
2007,channel_41_difference,0.0,0.0,0.01875
2007,channel_42_difference,0.0,0.0,0.01895
2007,channel_43_difference,0.0,0.0,0.0167
2007,channel_44_difference,0.0,0.0,0.0181
2007,channel_45_difference,0.0,0.0,0.01735
2007,channel_46_difference,0.0,0.0,0.019
2008,channel_41_last,0.0,-0.18395254015922546,0.0303
2008,channel_41_min,0.0,-0.18461868166923523,0.02315
2008,channel_41_max,0.0614745132625103,-0.12283237278461456,0.0578
2008,channel_41_std,0.0,0.0,0.01165
2008,channel_42_last,-0.0580093152821064,-0.17413127422332764,0.01935
2008,channel_42_min,-0.058607231825590134,-0.1758216917514801,0.0176
2008,channel_42_max,-0.05846540257334709,-0.17540055513381958,0.02385
2008,channel_42_std,0.0,0.0,0.01165
2008,channel_43_last,0.0,-0.07971756160259247,0.0838
2008,channel_43_min,-0.019979046657681465,-0.07984702289104462,0.077
2008,channel_43_max,0.0,-0.07963918894529343,0.0778
2008,channel_43_std,0.0,0.0,0.013
2008,channel_44_last,0.0,-0.03839937597513199,0.0309
2008,channel_44_min,0.0,-0.05777417868375778,0.03135
2008,channel_44_max,0.0,-0.057629477232694626,0.0274
2008,channel_44_std,0.0,0.0,0.01145
2008,channel_45_last,-0.06127030402421951,-0.18371623754501343,0.02935
2008,channel_45_min,0.0,-0.1843602955341339,0.01755
2008,channel_45_max,0.0,-0.12264152616262436,0.0494
2008,channel_45_std,0.0,0.0,0.0113
2008,channel_46_last,0.0,-0.116193987429142,0.0206
2008,channel_46_min,-0.058594442903995514,-0.17578333616256714,0.0129
2008,channel_46_max,0.0,-0.11730973422527313,0.02885
2008,channel_46_std,0.0,0.0,0.0102
2008,channel_41_difference,0.0,0.0,0.0184
2008,channel_42_difference,0.0,0.0,0.0186
2008,channel_43_difference,0.0,0.0,0.0183
2008,channel_44_difference,0.0,0.0,0.0143
2008,channel_45_difference,0.0,0.0,0.02165
2008,channel_46_difference,0.0,0.0,0.0171
2009,channel_41_last,0.0,-0.3066558837890625,0.12905
2009,channel_41_min,0.0,-0.30759191513061523,0.1307
2009,channel_41_max,0.0614745132625103,-0.2457767277956009,0.16445
2009,channel_41_std,0.0,0.0,0.00985
2009,channel_42_last,-0.0580093152821064,-0.29014989733695984,0.05605
2009,channel_42_min,-0.058607231825590134,-0.29304051399230957,0.04875
2009,channel_42_max,-0.05846540257334709,-0.23386596143245697,0.06745
2009,channel_42_std,0.0,0.0,0.01145
2009,channel_43_last,0.0,-0.11954181641340256,0.23865
2009,channel_43_min,-0.019979046657681465,-0.13971500098705292,0.2469
2009,channel_43_max,0.0,-0.11945877969264984,0.2198
2009,channel_43_std,0.0,0.0,0.01215
2009,channel_44_last,0.0,-0.07679875195026398,0.089
2009,channel_44_min,0.0,-0.09627960622310638,0.1077
2009,channel_44_max,0.0,-0.09605979919433594,0.0865
2009,channel_44_std,0.0,0.0,0.0128
2009,channel_45_last,-0.06127030402421951,-0.3061578869819641,0.1197
2009,channel_45_min,0.0,-0.3072354793548584,0.11915
2009,channel_45_max,0.0,-0.24528735876083374,0.1523
2009,channel_45_std,0.0,0.0,0.00955
2009,channel_46_last,0.0,-0.23248645663261414,0.057
2009,channel_46_min,-0.058594442903995514,-0.29296809434890747,0.0319
2009,channel_46_max,0.0,-0.29317498207092285,0.09795
2009,channel_46_std,0.0,0.0,0.01015
2009,channel_41_difference,0.0,0.0,0.0177
2009,channel_42_difference,0.0,0.0,0.01895
2009,channel_43_difference,0.0,0.0,0.0149
2009,channel_44_difference,0.0,0.0,0.0156
2009,channel_45_difference,0.0,0.0,0.0227
2009,channel_46_difference,0.0,0.0,0.01605
2010,channel_41_last,0.0,-0.42925676703453064,0.20535
2010,channel_41_min,0.0,-0.3691299259662628,0.2108
2010,channel_41_max,0.0614745132625103,-0.36871641874313354,0.24325
2010,channel_41_std,0.0,0.0,0.01095
2010,channel_42_last,-0.0580093152821064,-0.29014989733695984,0.06025
2010,channel_42_min,-0.058607231825590134,-0.29304051399230957,0.05135
2010,channel_42_max,-0.05846540257334709,-0.29233136773109436,0.07755
2010,channel_42_std,0.0,0.0,0.01185
2010,channel_43_last,0.0,-0.1594005972146988,0.3597
2010,channel_43_min,-0.019979046657681465,-0.17963851988315582,0.37955
2010,channel_43_max,0.0,-0.17917092144489288,0.33105
2010,channel_43_std,0.0,0.0,0.01435
2010,channel_44_last,0.0,-0.11519812047481537,0.1297
2010,channel_44_min,0.0,-0.1155162900686264,0.16085
2010,channel_44_max,0.0,-0.11529095470905304,0.13135
2010,channel_44_std,0.0,0.0,0.01295
2010,channel_45_last,-0.06127030402421951,-0.3673292100429535,0.15355
2010,channel_45_min,0.0,-0.36862125992774963,0.1459
2010,channel_45_max,0.0,-0.3065585494041443,0.19825
2010,channel_45_std,0.0,-0.000504475028719753,0.0112
2010,channel_46_last,0.0,-0.34877893328666687,0.0756
2010,channel_46_min,-0.058594442903995514,-0.4101569652557373,0.04825
2010,channel_46_max,0.0,-0.35182985663414,0.13605
2010,channel_46_std,0.0,0.0,0.0125
2010,channel_41_difference,0.0,0.0,0.01725
2010,channel_42_difference,0.0,0.0,0.01925
2010,channel_43_difference,0.0,0.0,0.01455
2010,channel_44_difference,0.0,0.0,0.01725
2010,channel_45_difference,0.0,0.0,0.01995
2010,channel_46_difference,0.0,0.0,0.0185
2011,channel_41_last,0.0,-0.42925676703453064,0.2181
2011,channel_41_min,0.0,-0.430667906999588,0.2201
2011,channel_41_max,0.0614745132625103,-0.36871641874313354,0.26155
2011,channel_41_std,0.0,0.0,0.00995
2011,channel_42_last,-0.0580093152821064,-0.34815919399261475,0.0766
2011,channel_42_min,-0.058607231825590134,-0.3516477346420288,0.0698
2011,channel_42_max,-0.05846540257334709,-0.35090088844299316,0.1021
2011,channel_42_std,0.0,0.0,0.0125
2011,channel_43_last,0.0,-0.1594005972146988,0.356
2011,channel_43_min,-0.019979046657681465,-0.17963851988315582,0.38225
2011,channel_43_max,0.0,-0.1592438817024231,0.32915
2011,channel_43_std,0.0,0.0,0.0129
2011,channel_44_last,0.0,-0.11519812047481537,0.1415
2011,channel_44_min,0.0,-0.13475151360034943,0.17225
2011,channel_44_max,0.0,-0.11529095470905304,0.1399
2011,channel_44_std,0.0,0.0,0.01305
2011,channel_45_last,-0.06127030402421951,-0.42860379815101624,0.19655
2011,channel_45_min,0.0,-0.43000704050064087,0.19545
2011,channel_45_max,0.0,-0.3679288923740387,0.23395
2011,channel_45_std,0.0,0.0,0.0122
2011,channel_46_last,0.0,-0.34877893328666687,0.0845
2011,channel_46_min,-0.058594442903995514,-0.4101569652557373,0.05
2011,channel_46_max,0.0,-0.35182985663414,0.15365
2011,channel_46_std,0.0,0.0,0.01025
2011,channel_41_difference,0.0,0.0,0.01695
2011,channel_42_difference,0.0,0.0,0.016
2011,channel_43_difference,0.0,0.0,0.01275
2011,channel_44_difference,0.0,0.0,0.01535
2011,channel_45_difference,0.0,0.0,0.0213
2011,channel_46_difference,0.0,0.0,0.01635
2012,channel_41_last,0.0,-0.36790043115615845,0.1659
2012,channel_41_min,0.0,-0.30759191513061523,0.16705
2012,channel_41_max,0.0614745132625103,-0.307246595621109,0.2053
2012,channel_41_std,0.0,0.0,0.00795
2012,channel_42_last,-0.0580093152821064,-0.29014989733695984,0.0657
2012,channel_42_min,-0.058607231825590134,-0.29304051399230957,0.05815
2012,channel_42_max,-0.05846540257334709,-0.29233136773109436,0.0817
2012,channel_42_std,0.0,0.0,0.012
2012,channel_43_last,0.0,-0.13948847353458405,0.30655
2012,channel_43_min,-0.019979046657681465,-0.15969404578208923,0.32285
2012,channel_43_max,0.0,-0.1592438817024231,0.2824
2012,channel_43_std,0.0,0.0,0.0125
2012,channel_44_last,0.0,-0.09601442515850067,0.11335
2012,channel_44_min,0.0,-0.1155162900686264,0.1338
2012,channel_44_max,0.0,-0.11529095470905304,0.1126
2012,channel_44_std,0.0,0.0,0.01145
2012,channel_45_last,-0.06127030402421951,-0.3673292100429535,0.1533
2012,channel_45_min,0.0,-0.36862125992774963,0.1536
2012,channel_45_max,0.0,-0.3065585494041443,0.18475
2012,channel_45_std,0.0,0.0,0.0112
2012,channel_46_last,0.0,-0.2906326949596405,0.0714
2012,channel_46_min,-0.058594442903995514,-0.3515625298023224,0.0392
2012,channel_46_max,0.0,-0.29317498207092285,0.124
2012,channel_46_std,0.0,0.0,0.0104
2012,channel_41_difference,0.0,0.0,0.01655
2012,channel_42_difference,0.0,0.0,0.0189
2012,channel_43_difference,0.0,0.0,0.01325
2012,channel_44_difference,0.0,0.0,0.016
2012,channel_45_difference,0.0,0.0,0.01825
2012,channel_46_difference,0.0,0.0,0.01605
